employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 45,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T27', 'T45', 'T65', 'T77', 'T172', 'T187', 'T207']",11,9,"[0.0024948024948024984, -0.0015282730514518553, -0.0021022455805064506, -0.0020399490012749663, -0.0010779029887310124, -0.0021286889211417494, -0.003775365738555923]"
Talent 46,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T95', 'T99', 'T136', 'T156', 'T185', 'T247']",11,9,"[1.708035422500241e-18, -0.0007839294463498283, 0.0018993352326685693, 0.0029546612328069295, -9.615384615384581e-05, 0.001025641025641022, 0.0013377926421404673]"
Talent 47,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T40', 'T66', 'T105', 'T129', 'T195', 'T252']",11,9,"[-0.0008406893652795267, -0.002174788562223112, 0.0021696252465483296, 0.0008643042350907558, 0.002380952380952381, 0.0009371339320577901]"
Talent 48,"['P5', 'P5', 'P5', 'P5']","['T3', 'T18', 'T78', 'T141']",11,9,"[-0.009541420118343191, -0.0033351264120494877, -0.00046269519953730476, -0.011251435132032148]"
Talent 49,"['P1', 'P1']","['T210', 'T257']",10,10,"[-0.025467188179052584, -0.02523076923076922]"
Talent 50,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T89', 'T113', 'T188', 'T208', 'T263', 'T300']",11,9,"[0.00213428190306803, 0.0015117830146731874, 0.0010848126232741596, 0.0004203446826397719, 0.00010465724751439049, 0.00017683465959328007]"
Talent 51,"['P5', 'P5']","['T181', 'T183']",11,9,"[-0.024352118469765538, -0.02077357670578009]"
Talent 52,"['P1', 'P1', 'P1']","['T121', 'T138', 'T230']",11,9,"[0.0008316008316008325, -0.0009483667017913597, -0.006872315501757126]"
Talent 53,"['P2', 'P2']","['T9', 'T79']",10,10,"[-0.022004662004662, -0.020315581854043377]"
Talent 54,"['P5', 'P5', 'P5']","['T7', 'T221', 'T282']",11,9,"[-0.008494572911750828, -0.01031894934333959, -0.010397295012679632]"
Talent 55,"['P4', 'P4']","['T184', 'T186']",10,10,"[-0.012872841444270025, -0.016999050332383664]"
Talent 56,['P2'],['T170'],8,12,[-0.029222174473571127]
Talent 57,"['P2', 'P2']","['T46', 'T127']",11,9,"[-0.019457013574660637, -0.01687645687645688]"
Talent 58,"['P3', 'P3', 'P3', 'P3']","['T25', 'T103', 'T137', 'T232']",11,9,"[-0.0018315018315018302, 0.0004837929366231252, -0.0004662004662004641, 0.000961538461538465]"
Talent 59,"['P1', 'P1']","['T30', 'T107']",11,9,"[-0.015474583895636523, -0.014019116977696859]"
Talent 60,"['P5', 'P5']","['T50', 'T51']",10,10,"[-0.011261940673705383, -0.011798017932987258]"
Talent 61,"['P5', 'P5']","['T17', 'T194']",11,9,"[-0.020824479388015293, -0.014743589743589743]"
Talent 62,"['P2', 'P2', 'P2', 'P2']","['T114', 'T125', 'T157', 'T259']",11,9,"[0.013864042933810383, 0.01037778789258079, 0.010285220397579946, 0.012390294269488893]"
Talent 63,"['P5', 'P5', 'P5']","['T60', 'T110', 'T133']",11,9,"[-0.0027508914926133473, -0.004205866076369673, -0.0031158714703018496]"
Talent 64,"['P5', 'P5', 'P5']","['T22', 'T52', 'T178']",11,9,"[-0.003614457831325299, -0.00923076923076923, -0.003923593185338153]"
Talent 65,"['P5', 'P5', 'P5']","['T198', 'T234', 'T243']",11,9,"[-0.00813326800587947, -0.006057692307692307, -0.009116809116809113]"
Talent 66,"['P5', 'P5']","['T71', 'T72']",11,9,"[-0.012418906394810003, -0.00949050949050949]"
Talent 67,"['P4', 'P4']","['T35', 'T262']",11,9,"[-0.020962663067926234, -0.020341880341880336]"
Talent 68,"['P2', 'P2']","['T62', 'T265']",11,9,"[-0.013437195715676729, -0.019291819291819296]"
Talent 69,"['P5', 'P5', 'P5']","['T111', 'T142', 'T193']",11,9,"[-0.004279164544065208, -0.008636977058029688, -0.006701274185936764]"
Talent 70,"['P3', 'P3', 'P3', 'P3']","['T34', 'T80', 'T176', 'T192']",11,9,"[0.0007778738115816752, 0.002224281742354032, 0.0036363636363636394, 0.0030578117534639324]"
Talent 71,"['P2', 'P2', 'P2']","['T104', 'T235', 'T299']",11,9,"[-0.002897102897102897, -0.0022459292532285256, -0.00211161387631976]"
Talent 72,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T31', 'T139', 'T211', 'T218', 'T268']",11,9,"[-0.0014071294559099415, -0.006099226217569405, -0.0052467763450422394, -0.002144522144522143, -0.0023821339950372226, -0.004472271914132379]"
Talent 73,"['P2', 'P2', 'P2', 'P2']","['T88', 'T167', 'T260', 'T291']",11,9,"[0.006828465651995058, 0.011841491841491846, 0.011229000884173293, 0.009604268563806135]"
Talent 74,['P2'],['T134'],8,12,[-0.026358974358974357]
Talent 75,"['P3', 'P3']","['T197', 'T245']",11,9,"[-0.017050465458108767, -0.01787461093819475]"
Talent 76,"['P5', 'P5']","['T236', 'T288']",11,9,"[-0.019158200290275762, -0.016403464085583293]"
Talent 77,"['P3', 'P3', 'P3']","['T73', 'T255', 'T287']",11,9,"[-0.007167832167832166, -0.007692307692307693, -0.004858299595141696]"
Talent 78,['P4'],['T118'],8,12,[-0.025982905982905986]
Talent 79,"['P4', 'P4']","['T160', 'T199']",11,9,"[-0.015384615384615385, -0.014769230769230765]"
Talent 80,"['P5', 'P5']","['T12', 'T147']",11,9,"[-0.01250620347394541, -0.014545454545454544]"
Talent 81,"['P5', 'P5']","['T64', 'T276']",11,9,"[-0.0268301746562616, -0.024226348364279397]"
Talent 82,['P2'],['T11'],8,12,[-0.029479502533394764]
Talent 83,"['P3', 'P3', 'P3', 'P3']","['T53', 'T59', 'T120', 'T214']",11,9,"[-0.000981996726677574, -0.0008097165991902834, -0.0015947467166979369, 0.0017457719585379202]"
Talent 84,"['P1', 'P1']","['T21', 'T128']",11,9,"[-0.023399355135882094, -0.019158200290275762]"
Talent 85,['P3'],['T285'],8,12,[-0.028698224852071]
Talent 86,"['P1', 'P1']","['T54', 'T238']",11,9,"[-0.008535980148883376, -0.00328054298642534]"
Talent 87,"['P4', 'P4']","['T43', 'T146']",11,9,"[-0.014446529080675428, -0.010960281548516845]"
Talent 88,"['P3', 'P3']","['T93', 'T180']",11,9,"[-0.014595660749506901, -0.012121212121212121]"
Talent 89,['P4'],['T101'],8,12,[-0.02393162393162393]
Talent 90,"['P1', 'P1']","['T149', 'T294']",11,9,"[-0.01649009672961768, -0.013339261894175183]"
Talent 91,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T70', 'T123', 'T196', 'T225', 'T272', 'T281']",11,9,"[-0.0008600095556617261, 0.00019980019980019815, -0.0018876828692779572, 0.0009990009990009977, -0.0005534034311012694, -0.004371584699453547]"
Talent 92,"['P3', 'P3', 'P3', 'P3']","['T100', 'T264', 'T271', 'T284']",11,9,"[0.004871794871794871, 0.006918525261720529, 0.005869275233437084, 0.008173076923076927]"
Talent 93,"['P2', 'P2', 'P2']","['T76', 'T140', 'T213']",11,9,"[-0.004075394803871627, -0.005755395683453235, -0.006115623506927854]"
Talent 94,"['P1', 'P1', 'P1', 'P1', 'P1']","['T4', 'T38', 'T41', 'T122', 'T266']",11,9,"[-0.0011899702507437266, 0.001183431952662721, 0.0022267206477732796, 0.0012578616352201272, 0.0003476749239461089]"
Talent 95,"['P5', 'P5']","['T209', 'T280']",11,9,"[-0.011780219780219777, -0.006173444390004898]"
Talent 96,"['P2', 'P2']","['T28', 'T249']",10,10,"[-0.013716404077849857, -0.01200750469043152]"
Talent 97,"['P2', 'P2']","['T33', 'T274']",11,9,"[-0.014128728414442708, -0.014457831325301203]"
Talent 98,"['P4', 'P4']","['T96', 'T231']",11,9,"[-0.010073260073260076, -0.008097165991902834]"
Talent 99,"['P2', 'P2', 'P2']","['T117', 'T162', 'T200']",11,9,"[0.012862547288776808, 0.01794871794871795, 0.016383616383616385]"
Talent 100,['P2'],['T161'],8,12,[-0.026829268292682937]
Talent 101,"['P2', 'P2']","['T63', 'T224']",11,9,"[-0.015967365967365966, -0.017526777020447915]"
Talent 102,"['P5', 'P5']","['T16', 'T241']",11,9,"[-0.013357899585444493, -0.016568047337278107]"
Talent 103,['P3'],['T116'],8,12,[-0.03846153846153845]
Talent 104,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T19', 'T47', 'T152', 'T279', 'T283', 'T293']",11,9,"[0.020270270270270275, 0.013235926085088091, 0.018339276617422313, 0.019254958877600384, 0.017595578074619988, 0.015188633023027923]"
Talent 105,"['P1', 'P1', 'P1']","['T112', 'T148', 'T233']",11,9,"[-0.003896103896103895, -0.005235042735042734, -0.006402845709204093]"
Talent 106,"['P4', 'P4']","['T254', 'T295']",11,9,"[-0.006504904491481675, -0.008872109485606417]"
Talent 107,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T20', 'T37', 'T98', 'T124', 'T151', 'T190', 'T240']",11,9,"[-3.416070845000482e-18, -0.00035164835164835245, -0.0016194331983805667, 0.002184235517568852, -0.0012987012987013, -0.0028131868131868144, -0.001266968325791861]"
Talent 108,"['P4', 'P4']","['T81', 'T86']",10,10,"[-0.016374269005847958, -0.011263736263736269]"
Talent 109,"['P2', 'P2', 'P2']","['T69', 'T91', 'T229']",11,9,"[0.008245349421820009, 0.004321521175453759, 0.004354136429608128]"
Talent 110,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T42', 'T90', 'T130', 'T143', 'T168', 'T169', 'T175']",11,9,"[-0.0016976127320954923, -0.00320082601961797, -0.0035006909258406293, -0.005946201038225575, -0.0005494505494505458, -0.0012474012474012483, -0.0027092404450895003]"
Talent 112,['P2'],['T67'],8,12,[-0.031668331668331655]
