employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 30,['P4'],['T262'],8,12,[-0.01452991452991453]
Talent 31,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T2', 'T55', 'T112', 'T248', 'T251', 'T273', 'T292']",19,1,"[0.00020110608345902904, -0.0007085020242914993, 0.003496503496503495, 0.00028142589118199243, -0.0011627906976744173, 0.00030565461029037004, 0.002351788339049485]"
Talent 37,"['P5', 'P5']","['T13', 'T183']",16,4,"[-0.006692742285962625, -0.009474141677531508]"
Talent 39,"['P2', 'P2', 'P2', 'P2', 'P2']","['T28', 'T114', 'T125', 'T157', 'T162']",20,0,"[0.0029657089898053796, 0.00867620751341682, 0.0040964952207555765, 0.004235090751944684, 0.00750915750915751]"
Talent 40,"['P2', 'P2']","['T274', 'T297']",16,4,"[-0.010009267840593137, -0.0075824175824175805]"
Talent 42,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T24', 'T25', 'T34', 'T115', 'T137', 'T192', 'T228', 'T284']",20,0,"[0.00332383665716999, 0.00467032967032967, 0.003111495246326706, 0.004797353184449953, 0.007086247086247088, 0.0019111323459149582, 0.004162895927601812, 0.00673076923076923]"
Talent 45,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T3', 'T42', 'T65', 'T77', 'T111', 'T169', 'T172', 'T175', 'T207', 'T218']",20,0,"[-0.007026627218934906, 0.00010610079575596582, -0.0021022455805064506, -0.0020399490012749663, 0.0011207335710646993, -0.0006237006237006173, -0.0010779029887310124, -0.0021286889211417507, -0.003775365738555923, -0.0020843672456575682]"
Talent 46,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T43', 'T84', 'T86', 'T99', 'T136', 'T156', 'T185', 'T247']",20,0,"[1.708035422500241e-18, 0.00018761726078799266, 0.0011917659804983698, 9.157509157508783e-05, 0.0018993352326685693, 0.0029546612328069295, -9.615384615384581e-05, 0.001025641025641022, 0.0013377926421404673]"
Talent 47,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T41', 'T66', 'T105', 'T122', 'T129', 'T230', 'T239', 'T252']",20,0,"[0.0020242914979757107, -0.002174788562223112, 0.0021696252465483296, 0.0011611030478955004, 0.0008643042350907558, -0.0019523623584537272, -0.0015548281505728331, 0.0009371339320577901]"
Talent 48,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T7', 'T78', 'T141', 'T147', 'T168', 'T242']",20,0,"[-0.005757432751297781, -0.00046269519953730476, -0.011251435132032148, -0.007738927738927737, -0.0037362637362637367, -0.0018289402904787533]"
Talent 50,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T89', 'T113', 'T188', 'T208', 'T232', 'T263', 'T271', 'T278', 'T300']",20,0,"[0.00213428190306803, 0.0015117830146731874, 0.0010848126232741596, 0.0004203446826397719, 0.0031468531468531475, 0.00010465724751439049, 0.00115606936416185, 0.0006366047745358068, 0.00017683465959328007]"
Talent 52,"['P1', 'P1', 'P1', 'P1', 'P1']","['T121', 'T138', 'T226', 'T233', 'T244']",20,0,"[0.0008316008316008325, -0.0009483667017913597, -0.0054818744473916865, -0.0038239217429968846, 0.0005197505197505204]"
Talent 54,"['P2', 'P2', 'P2']","['T32', 'T79', 'T145']",18,2,"[-0.005958203646064918, -0.005917159763313613, -0.010822898032200363]"
Talent 58,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T31', 'T45', 'T60', 'T90', 'T130', 'T132', 'T139', 'T144', 'T187', 'T211', 'T234', 'T276', 'T282']",20,0,"[-0.004187528447883475, -0.0006113092205807418, 0.00040753948038716115, -0.0023748064016520408, -0.0017503454629203116, 1.708035422500241e-18, -0.0025789239662072027, -0.0010643444605708738, -0.0007740686985969987, -0.0013053613053613002, 0.0007692307692307699, -0.002917771883289123, -0.0027049873203719398]"
Talent 59,"['P4', 'P4']","['T39', 'T146']",16,4,"[-0.01577164973391388, -0.008044243338360985]"
Talent 60,"['P5', 'P5']","['T83', 'T288']",16,4,"[-0.01656108597285068, -0.013041263372389202]"
Talent 62,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T5', 'T44', 'T62', 'T140', 'T167', 'T299']",20,0,"[0.010041455550437582, 0.008831908831908826, 0.011392405063291143, 0.013060320973990043, 0.011282051282051288, 0.014781297134238305]"
Talent 63,"['P5', 'P5', 'P5', 'P5', 'P5']","['T27', 'T51', 'T133', 'T142', 'T236']",20,0,"[-0.00031185031185031035, -0.0050967437470505, -0.0031158714703018496, -0.01070625281151597, -0.005515239477503627]"
Talent 64,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T22', 'T52', 'T71', 'T178', 'T194', 'T280']",20,0,"[-0.003614457831325299, -0.00923076923076923, -0.008248378127896194, -0.003923593185338153, -0.0035714285714285774, -0.0038216560509554114]"
Talent 65,"['P5', 'P5', 'P5', 'P5']","['T50', 'T198', 'T243', 'T296']",20,0,"[-0.006535947712418298, -0.00813326800587947, -0.009116809116809113, -0.005623342175066314]"
Talent 66,"['P1', 'P1']","['T238', 'T294']",16,4,"[-0.005316742081447962, -0.010582481102712317]"
Talent 69,"['P4', 'P4', 'P4', 'P4']","['T82', 'T102', 'T186', 'T212']",20,0,"[-0.012560386473429948, -0.011353352529823115, -0.006552706552706551, -0.006787330316742084]"
Talent 70,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T100', 'T166', 'T197', 'T219', 'T286', 'T289']",20,0,"[0.00515685431886549, 0.0031623931623931552, 0.0026755852842809433, 0.0019598236158745726, 0.004761904761904764, 0.004423076923076924, 0.004558404558404553]"
Talent 71,"['P2', 'P2', 'P2', 'P2']","['T11', 'T19', 'T104', 'T235']",20,0,"[-0.003224320589590054, -0.0033264033264033266, -0.002897102897102897, -0.0022459292532285256]"
Talent 72,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T119', 'T158', 'T237', 'T246', 'T255', 'T287']",19,1,"[-0.0006903353057199203, 0.0006940427993059537, -0.0006279434850863446, 0.00034965034965035106, -0.0021978021978021935, 0.0012724117987275856]"
Talent 73,"['P2', 'P2', 'P2', 'P2']","['T91', 'T131', 'T165', 'T293']",20,0,"[0.006914433880726012, 0.01471571906354515, 0.008175824175824175, 0.009995100440960311]"
Talent 77,"['P1', 'P1']","['T250', 'T290']",16,4,"[-0.008018648018648019, -0.005866076369673491]"
Talent 79,['P2'],['T127'],8,12,[-0.012494172494172496]
Talent 83,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T10', 'T53', 'T73', 'T103', 'T120', 'T180', 'T214']",20,0,"[0.0037654653039268376, -0.000981996726677574, -0.0009615384615384632, -0.0008708272859216254, -0.0015947467166979369, -0.00046620046620046577, 0.0017457719585379202]"
Talent 86,"['P4', 'P4']","['T101', 'T254']",16,4,"[-0.010256410256410255, -0.005885389778007231]"
Talent 88,"['P5', 'P5']","['T1', 'T64']",16,4,"[-0.01278586278586278, -0.019397993311036785]"
Talent 90,['P2'],['T134'],8,12,[-0.012]
Talent 91,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T48', 'T59', 'T163', 'T182', 'T202', 'T277']",19,1,"[-0.0025044722719141316, 0.0002024291497975715, -0.00027972027972027983, -0.0006947890818858527, -0.001451378809869374, 0.0013546202225447506]"
Talent 92,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T80', 'T173', 'T176', 'T191', 'T203', 'T227', 'T264']",20,0,"[0.0035217794253938877, 0.006773101112723752, 0.007086247086247089, 0.005424633170297914, 0.005465587044534415, 0.006345067362016514, 0.006918525261720529]"
Talent 93,"['P3', 'P3']","['T92', 'T126']",16,4,"[-0.008911307271963008, -0.003244374672946104]"
Talent 94,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T29', 'T38', 'T74', 'T107', 'T189', 'T195', 'T266', 'T269', 'T275']",20,0,"[0.0016244624940277145, 0.001183431952662721, 0.002610722610722611, 3.416070845000482e-18, -0.0007197480881691416, 0.001739926739926739, 0.0003476749239461089, 0.0023169601482854528, 0.0019345923537540304]"
Talent 95,"['P3', 'P3']","['T68', 'T245']",16,4,"[-0.012471552116522526, -0.010849266340595819]"
Talent 96,"['P1', 'P1']","['T36', 'T87']",16,4,"[-0.01326259946949602, -0.012613473483038705]"
Talent 97,['P1'],['T171'],5,15,[-0.010325245224574082]
Talent 98,"['P4', 'P4', 'P4']","['T160', 'T231', 'T253']",19,1,"[-0.010622710622710627, -0.008097165991902834, -0.005268703898840884]"
Talent 99,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T6', 'T49', 'T69', 'T88', 'T161', 'T279']",20,0,"[0.014019116977696857, 0.015206758559359714, 0.01427853192559075, 0.012176059234882766, 0.014634146341463422, 0.018093855829704884]"
Talent 102,"['P5', 'P5']","['T12', 'T241']",16,4,"[-0.012009925558312656, -0.016568047337278107]"
Talent 104,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T33', 'T76', 'T108', 'T117', 'T152', 'T256']",20,0,"[0.017477760334903197, 0.020580743759551694, 0.019443133553563006, 0.013703236654056337, 0.018339276617422313, 0.018003273322422266]"
Talent 105,"['P1', 'P1', 'P1']","['T21', 'T148', 'T204']",18,2,"[-0.007830492860432985, -0.005235042735042734, -0.0059009483667017875]"
Talent 106,"['P4', 'P4']","['T56', 'T118']",16,4,"[-0.012538906180524676, -0.01256410256410257]"
Talent 107,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T20', 'T35', 'T37', 'T81', 'T94', 'T96', 'T98', 'T190']",20,0,"[-3.416070845000482e-18, 0.0007197480881691408, -0.00035164835164835245, -0.0018893387314439937, -0.002065049044914822, 0.0029304029304029287, -0.0016194331983805667, -0.0028131868131868144]"
Talent 108,"['P5', 'P5']","['T17', 'T209']",16,4,"[-0.01606459838504037, -0.015032967032967031]"
Talent 109,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T46', 'T63', 'T109', 'T164', 'T216', 'T220']",20,0,"[0.008325791855203619, 0.009906759906759904, 0.010164835164835169, 0.005388520109332293, 0.009986504723346827, 0.010521091811414389]"
Talent 110,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T16', 'T143', 'T181', 'T193', 'T221', 'T268']",20,0,"[-0.0015009380863039345, -0.002579456471672042, -0.005946201038225575, -0.006334841628959275, -0.004152902312411513, -0.004127579737335835, -0.005813953488372091]"
