employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 85,"['P5', 'P5', 'P5', 'P5']","['T12', 'T27', 'T52', 'T221']",20,0,"[-0.029975186104218374, -0.02494802494802496, -0.034125874125874124, -0.031894934333958735]"
Talent 86,"['P5', 'P5', 'P5', 'P5']","['T13', 'T130', 'T178', 'T198']",19,1,"[-0.01329856584093872, -0.012897282358360206, -0.00970573051109964, -0.01626653601175894]"
Talent 87,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T31', 'T83', 'T142', 'T211', 'T218', 'T236']",20,0,"[-0.02139280837505689, -0.020995475113122174, -0.020962663067926227, -0.016410256410256407, -0.018759305210918106, -0.020803096274794385]"
Talent 88,"['P4', 'P4']","['T98', 'T118']",9,11,"[-0.01748987854251012, -0.015384615384615387]"
Talent 89,"['P5', 'P5', 'P5']","['T72', 'T194', 'T288']",19,1,"[-0.025174825174825173, -0.024084249084249085, -0.026286296484971983]"
Talent 90,"['P3', 'P3']","['T53', 'T188']",4,16,"[-0.01571194762684125, -0.01617357001972387]"
Talent 91,"['P4', 'P4']","['T156', 'T254']",10,10,"[-0.0030769230769230795, 0.004439855446566848]"
Talent 92,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T60', 'T111', 'T147', 'T168', 'T175', 'T181', 'T243']",19,1,"[0.011411105450840548, 0.010392256749872642, 0.007086247086247087, 0.00956043956043956, 0.008708272859216253, 0.00468942821883998, 0.0063627730294396915]"
Talent 93,['P2'],['T213'],1,19,[-0.006115623506927854]
Talent 94,"['P3', 'P3', 'P3']","['T24', 'T197', 'T214']",7,13,"[-0.0022792022792022843, -0.0013718765311121987, 0.00556464811783961]"
Talent 95,['P3'],['T158'],2,18,[-0.004048582995951415]
Talent 96,['P3'],['T103'],2,18,[-0.01499758103531688]
Talent 97,['P3'],['T227'],3,17,[-0.017818339852238158]
Talent 98,"['P3', 'P3', 'P3']","['T80', 'T116', 'T120']",16,4,"[-0.014272474513438367, -0.01218781218781219, -0.011257035647279553]"
Talent 99,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T3', 'T7', 'T50', 'T139', 'T141', 'T169', 'T172', 'T207']",20,0,"[0.01397928994082841, 0.017461066540821142, 0.01890397184514831, 0.01574032903512672, 0.009797168006123229, 0.02089397089397089, 0.017050465458108767, 0.014252005663048602]"
Talent 100,"['P4', 'P4']","['T61', 'T262']",13,7,"[-0.02965034965034965, -0.030598290598290598]"
Talent 101,"['P2', 'P2', 'P2', 'P2']","['T5', 'T62', 'T67', 'T279']",18,2,"[-0.020543528327959474, -0.019668938656280426, -0.02237762237762237, -0.016642477019835508]"
Talent 102,"['P4', 'P4', 'P4', 'P4']","['T15', 'T81', 'T231', 'T261']",20,0,"[-0.016083916083916076, -0.018263607737291954, -0.0131578947368421, -0.016404077849860976]"
Talent 103,['P3'],['T58'],8,12,[-0.03811965811965813]
Talent 104,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T90', 'T133', 'T153', 'T193', 'T242', 'T276']",20,0,"[0.017036654620547226, 0.02015579357351509, 0.013863060016906176, 0.015950920245398775, 0.021086605701990314, 0.013881520778072495]"
Talent 105,"['P3', 'P3', 'P3']","['T154', 'T173', 'T263']",13,7,"[-0.009326923076923076, -0.009288824383164003, -0.007012035583464158]"
Talent 106,"['P2', 'P2', 'P2']","['T131', 'T229', 'T260']",9,11,"[-0.013473483038700424, -0.016642477019835508, -0.013969938107869142]"
Talent 107,"['P5', 'P5', 'P5', 'P5']","['T64', 'T144', 'T241', 'T282']",20,0,"[-0.003567447045707915, 0.0008708272859216271, -0.0010013654984069133, 0.0010989010989010967]"
Talent 108,['P3'],['T255'],5,15,[-0.013076923076923071]
Talent 109,"['P2', 'P2']","['T117', 'T200']",6,14,"[0.006893652795292148, 0.009190809190809194]"
Talent 110,"['P5', 'P5', 'P5', 'P5', 'P5']","['T16', 'T71', 'T132', 'T183', 'T280']",20,0,"[-0.002579456471672042, -0.005375347544022237, -0.0037097654118930716, -0.005041286397218604, -0.001273885350318471]"
Talent 112,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T17', 'T22', 'T45', 'T78', 'T268']",20,0,"[-0.02748592870544091, -0.03272418189545261, -0.031417979610750706, -0.029648497198166077, -0.024175824175824166, -0.03023255813953489]"
