employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 44,"['P1', 'P1']","['T54', 'T250']",11,9,"[-0.024913151364764276, -0.02648018648018649]"
Talent 45,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T42', 'T45', 'T65', 'T77', 'T172', 'T187', 'T282']",11,9,"[0.00010610079575596582, -0.0015282730514518553, -0.0021022455805064506, -0.0020399490012749663, -0.0010779029887310124, -0.0021286889211417494, -0.004649196956889271]"
Talent 46,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T70', 'T95', 'T99', 'T123', 'T156', 'T185', 'T247']",11,9,"[1.708035422500241e-18, -0.0005733397037744857, -0.0007839294463498283, 0.0018993352326685693, -0.0004995004995004988, -9.615384615384581e-05, 0.001025641025641022, 0.0013377926421404673]"
Talent 47,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T14', 'T40', 'T66', 'T129', 'T174', 'T252']",11,9,"[-0.00036199095022624136, -0.0008406893652795267, -0.002174788562223112, 0.0008643042350907558, -0.0019462465245597728, 0.0009371339320577901]"
Talent 48,"['P5', 'P5', 'P5', 'P5']","['T3', 'T7', 'T18', 'T141']",11,9,"[-0.009541420118343191, -0.005757432751297781, -0.0033351264120494877, -0.011251435132032148]"
Talent 49,['P4'],['T160'],8,12,[-0.024267399267399264]
Talent 50,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T113', 'T188', 'T263', 'T271', 'T300']",11,9,"[8.594757198108718e-05, 0.0015117830146731874, 0.0010848126232741596, 0.00010465724751439049, 0.00115606936416185, 0.00017683465959328007]"
Talent 51,"['P1', 'P1']","['T148', 'T210']",10,10,"[-0.019017094017094012, -0.024511082138200784]"
Talent 52,"['P1', 'P1', 'P1']","['T121', 'T138', 'T230']",11,9,"[0.0008316008316008325, -0.0009483667017913597, -0.006872315501757126]"
Talent 53,['P2'],['T274'],8,12,[-0.023540315106580164]
Talent 54,"['P5', 'P5', 'P5']","['T132', 'T193', 'T221']",11,9,"[-0.0073104200763775265, -0.010665408211420485, -0.01031894934333959]"
Talent 55,"['P4', 'P4']","['T184', 'T186']",10,10,"[-0.012872841444270025, -0.016999050332383664]"
Talent 56,['P2'],['T170'],8,12,[-0.029222174473571127]
Talent 57,"['P2', 'P2']","['T46', 'T224']",11,9,"[-0.019457013574660637, -0.017818889970788718]"
Talent 58,"['P3', 'P3', 'P3', 'P3']","['T25', 'T103', 'T137', 'T232']",11,9,"[-0.0018315018315018302, 0.0004837929366231252, -0.0004662004662004641, 0.000961538461538465]"
Talent 59,"['P3', 'P3']","['T93', 'T197']",11,9,"[-0.014990138067061147, -0.015678588926996567]"
Talent 60,"['P5', 'P5']","['T50', 'T51']",10,10,"[-0.011261940673705383, -0.011798017932987258]"
Talent 61,"['P1', 'P1']","['T87', 'T189']",11,9,"[-0.01490683229813665, -0.018443544759334237]"
Talent 62,"['P2', 'P2', 'P2', 'P2', 'P2']","['T47', 'T69', 'T167', 'T200', 'T283']",11,9,"[0.007649333906317144, 0.0089492207139266, 0.011282051282051288, 0.011388611388611391, 0.011976047904191616]"
Talent 63,"['P5', 'P5', 'P5']","['T60', 'T110', 'T133']",11,9,"[-0.0027508914926133473, -0.004205866076369673, -0.0031158714703018496]"
Talent 64,"['P5', 'P5', 'P5']","['T22', 'T52', 'T178']",11,9,"[-0.003614457831325299, -0.00923076923076923, -0.003923593185338153]"
Talent 65,"['P5', 'P5', 'P5']","['T198', 'T234', 'T243']",11,9,"[-0.00813326800587947, -0.006057692307692307, -0.009116809116809113]"
Talent 66,"['P5', 'P5']","['T71', 'T72']",11,9,"[-0.012418906394810003, -0.00949050949050949]"
Talent 67,"['P4', 'P4']","['T61', 'T215']",10,10,"[-0.020699300699300704, -0.016568047337278114]"
Talent 68,"['P2', 'P2']","['T63', 'T265']",11,9,"[-0.012820512820512817, -0.019291819291819296]"
Talent 69,"['P5', 'P5', 'P5']","['T78', 'T142', 'T169']",11,9,"[-0.0017351069982648939, -0.008636977058029688, -0.0030145530145530113]"
Talent 70,"['P3', 'P3', 'P3', 'P3']","['T80', 'T203', 'T228', 'T264']",11,9,"[0.002224281742354032, 0.00040485829959514125, 0.0031674208144796354, 0.0022758306781975437]"
Talent 71,"['P2', 'P2', 'P2']","['T104', 'T235', 'T299']",11,9,"[-0.002897102897102897, -0.0022459292532285256, -0.00211161387631976]"
Talent 72,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T31', 'T207', 'T211', 'T218', 'T268']",11,9,"[-0.0014071294559099415, -0.006099226217569405, -0.005379896177442189, -0.002144522144522143, -0.0023821339950372226, -0.004472271914132379]"
Talent 73,"['P2', 'P2', 'P2']","['T177', 'T201', 'T216']",11,9,"[0.010096153846153848, 0.011601513240857515, 0.011695906432748539]"
Talent 74,['P4'],['T118'],8,12,[-0.028632478632478635]
Talent 75,"['P2', 'P2']","['T33', 'T134']",11,9,"[-0.016954474097331244, -0.014564102564102562]"
Talent 76,"['P5', 'P5']","['T236', 'T288']",11,9,"[-0.019158200290275762, -0.016403464085583293]"
Talent 77,"['P2', 'P2']","['T249', 'T256']",10,10,"[-0.006941838649155719, -0.006873977086743041]"
Talent 78,['P1'],['T21'],8,12,[-0.02542607093505299]
Talent 79,"['P2', 'P2']","['T127', 'T220']",11,9,"[-0.012494172494172496, -0.010818858560794046]"
Talent 80,"['P5', 'P5']","['T12', 'T147']",11,9,"[-0.01250620347394541, -0.014545454545454544]"
Talent 81,"['P5', 'P5']","['T64', 'T276']",11,9,"[-0.0268301746562616, -0.024226348364279397]"
Talent 82,['P2'],['T11'],8,12,[-0.029479502533394764]
Talent 83,"['P3', 'P3', 'P3', 'P3']","['T53', 'T59', 'T120', 'T158']",11,9,"[-0.000981996726677574, -0.0008097165991902834, -0.0015947467166979369, 0.0026604973973395007]"
Talent 84,"['P1', 'P1']","['T149', 'T251']",11,9,"[-0.024596959926301253, -0.02513416815742397]"
Talent 85,['P3'],['T285'],8,12,[-0.028698224852071]
Talent 86,"['P3', 'P3', 'P3']","['T48', 'T73', 'T287']",11,9,"[-0.012343470483005365, -0.008216783216783215, -0.00763447079236553]"
Talent 87,"['P4', 'P4']","['T43', 'T146']",11,9,"[-0.014446529080675428, -0.010960281548516845]"
Talent 88,"['P4', 'P4']","['T94', 'T231']",11,9,"[-0.0169334021683015, -0.013765182186234813]"
Talent 89,"['P1', 'P1']","['T128', 'T238']",11,9,"[-0.021190130624092883, -0.01855203619909502]"
Talent 90,"['P3', 'P3']","['T68', 'T119']",11,9,"[-0.017478379608557117, -0.01301775147928994]"
Talent 91,"['P1', 'P1', 'P1', 'P1']","['T41', 'T74', 'T171', 'T239']",11,9,"[-0.0018218623481781365, 0.0008391608391608395, 0.0016520392359318493, -0.005237315875613752]"
Talent 92,"['P3', 'P3', 'P3', 'P3', 'P3']","['T24', 'T176', 'T192', 'T208', 'T219']",11,9,"[0.005982905982905978, 0.007086247086247089, 0.006497849976110852, 0.00899537620849097, 0.007600732600732604]"
Talent 93,"['P2', 'P2', 'P2']","['T76', 'T140', 'T213']",11,9,"[-0.004075394803871627, -0.005755395683453235, -0.006115623506927854]"
Talent 94,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T38', 'T105', 'T107', 'T122', 'T159', 'T195']",11,9,"[0.001183431952662721, 0.0014792899408284023, 3.416070845000482e-18, 0.0012578616352201272, -0.00028846153846153914, 0.001739926739926739]"
Talent 95,"['P5', 'P5']","['T209', 'T280']",11,9,"[-0.011780219780219777, -0.006173444390004898]"
Talent 96,"['P5', 'P5']","['T1', 'T181']",11,9,"[-0.011018711018711018, -0.017194570135746608]"
Talent 97,"['P2', 'P2']","['T79', 'T162']",10,10,"[-0.01124260355029586, -0.01336996336996337]"
Talent 98,"['P4', 'P4']","['T81', 'T267']",10,10,"[-0.013135402609086818, -0.011444652908067548]"
Talent 99,"['P2', 'P2', 'P2', 'P2']","['T6', 'T114', 'T260', 'T293']",11,9,"[0.014019116977696857, 0.018246869409660117, 0.014677276746242255, 0.013816756491915725]"
Talent 100,['P2'],['T161'],8,12,[-0.026829268292682937]
Talent 101,"['P4', 'P4']","['T96', 'T101']",11,9,"[-0.01840659340659341, -0.016490698843640024]"
Talent 102,"['P5', 'P5']","['T16', 'T241']",11,9,"[-0.013357899585444493, -0.016568047337278107]"
Talent 103,['P3'],['T116'],8,12,[-0.03846153846153845]
Talent 104,"['P2', 'P2', 'P2']","['T28', 'T109', 'T157']",11,9,"[0.016126042632066732, 0.016391941391941393, 0.015471045808124455]"
Talent 105,"['P1', 'P1']","['T204', 'T233']",10,10,"[-0.0059009483667017875, -0.006402845709204093]"
Talent 106,"['P4', 'P4']","['T254', 'T295']",11,9,"[-0.006504904491481675, -0.008872109485606417]"
Talent 107,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T20', 'T35', 'T37', 'T98', 'T190', 'T196']",11,9,"[-3.416070845000482e-18, 0.0007197480881691408, -0.00035164835164835245, -0.0016194331983805667, -0.0028131868131868144, 0.00018876828692780017]"
Talent 108,"['P4', 'P4']","['T57', 'T86']",10,10,"[-0.010083160083160079, -0.011263736263736269]"
Talent 109,"['P2', 'P2']","['T88', 'T91']",11,9,"[0.006088029617441381, 0.004321521175453759]"
Talent 110,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T27', 'T90', 'T130', 'T139', 'T143', 'T168', 'T175']",11,9,"[0.0011434511434511437, -0.00320082601961797, -0.0035006909258406293, -0.005157847932414404, -0.005946201038225575, -0.0005494505494505458, -0.0027092404450895003]"
Talent 112,['P1'],['T36'],8,12,[-0.027497789566755085]
