employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 24,"['P5', 'P5', 'P5']","['T22', 'T77', 'T83']",11,9,"[0.0811714697570013, 0.07986585521790679, 0.07808365400662104]"
Talent 25,"['P4', 'P4']","['T43', 'T254']",11,9,"[0.06263936395488602, 0.06516470250167694]"
Talent 26,"['P4', 'P4']","['T102', 'T267']",10,10,"[0.07675925082444879, 0.06844032113066739]"
Talent 27,"['P2', 'P2', 'P2', 'P2', 'P2']","['T47', 'T108', 'T205', 'T249', 'T293']",11,9,"[0.06366071663439693, 0.06964204558036725, 0.06715896698355679, 0.06746415292533742, 0.06979991505756594]"
Talent 28,"['P3', 'P3']","['T163', 'T285']",11,9,"[0.08502648816943975, 0.0869025633386742]"
Talent 29,"['P4', 'P4']","['T39', 'T253']",11,9,"[0.06208754436894962, 0.07171817546335886]"
Talent 30,"['P1', 'P1']","['T121', 'T290']",11,9,"[0.08748352363937141, 0.08906770405826714]"
Talent 31,"['P3', 'P3', 'P3', 'P3']","['T103', 'T120', 'T137', 'T263']",11,9,"[0.07848268662556936, 0.09865815691593144, 0.09033622211294108, 0.08128814235783627]"
Talent 34,"['P5', 'P5']","['T16', 'T17']",11,9,"[0.059371918071019436, 0.0568727151524708]"
Talent 35,"['P5', 'P5']","['T175', 'T209']",10,10,"[0.0671481457783844, 0.059238877487596556]"
Talent 36,"['P5', 'P5']","['T13', 'T193']",11,9,"[0.07661272335862807, 0.0915214879117872]"
Talent 37,"['P1', 'P1', 'P1']","['T41', 'T138', 'T149']",8,12,"[0.09049875621120891, 0.08559210665414321, 0.08341764005141244]"
Talent 38,"['P3', 'P3']","['T97', 'T180']",11,9,"[0.0711425357720748, 0.07366424068783824]"
Talent 39,"['P5', 'P5', 'P5']","['T52', 'T143', 'T243']",11,9,"[0.09865815691593142, 0.09058036391191289, 0.09795574637920133]"
Talent 40,"['P3', 'P3']","['T68', 'T173']",11,9,"[0.07883483443268724, 0.08128814235783625]"
Talent 41,"['P5', 'P5', 'P5', 'P5']","['T27', 'T90', 'T144', 'T221']",11,9,"[0.09146528618260298, 0.08301951253873768, 0.07853519954535629, 0.07855272795675068]"
Talent 42,"['P1', 'P1']","['T66', 'T179']",10,10,"[0.08218002013298241, 0.0790842593046635]"
Talent 43,"['P4', 'P4', 'P4']","['T82', 'T84', 'T136']",10,10,"[0.07277485476700989, 0.08518369500633825, 0.08333333333333333]"
Talent 44,"['P5', 'P5', 'P5', 'P5']","['T50', 'T65', 'T276', 'T282']",11,9,"[0.0675411175334275, 0.06131978573260019, 0.05933487057573431, 0.05716761071022377]"
Talent 45,"['P3', 'P3', 'P3', 'P3']","['T182', 'T203', 'T208', 'T237']",10,10,"[0.09229084821396757, 0.108724480555403, 0.08956319662525672, 0.0904987562112089]"
Talent 46,"['P4', 'P4', 'P4']","['T151', 'T186', 'T217']",9,11,"[0.07894143321718941, 0.08556925800277418, 0.09234863912389636]"
Talent 47,"['P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T31', 'T141', 'T181', 'T194']",11,9,"[0.09071688513181941, 0.08482567736056275, 0.08119087927893175, 0.07810087329940132, 0.09401380918144206]"
Talent 48,"['P5', 'P5']","['T12', 'T111']",11,9,"[0.09834014004913909, 0.08966860350813237]"
Talent 49,"['P2', 'P2', 'P2']","['T19', 'T213', 'T297']",11,9,"[0.07334986984793825, 0.06680467029767906, 0.06977555580433975]"
Talent 50,"['P3', 'P3']","['T116', 'T191']",11,9,"[0.0881266724007074, 0.0908540461929189]"
Talent 51,"['P1', 'P1']","['T222', 'T238']",10,10,"[0.06788523334066363, 0.07848268662556937]"
Talent 52,"['P3', 'P3']","['T59', 'T126']",10,10,"[0.09208945982425146, 0.10105407646568405]"
Talent 53,"['P2', 'P2']","['T165', 'T216']",10,10,"[0.056027609508853306, 0.057534475687309815]"
Talent 54,"['P2', 'P2']","['T33', 'T265']",11,9,"[0.08630991428241543, 0.08456019692064963]"
Talent 55,"['P2', 'P2']","['T79', 'T162']",10,10,"[0.07867576574406682, 0.07197121771465657]"
Talent 56,"['P5', 'P5', 'P5']","['T132', 'T147', 'T153']",11,9,"[0.07230839334948472, 0.06412509207229446, 0.06250000000000001]"
Talent 57,"['P2', 'P2', 'P2', 'P2']","['T44', 'T104', 'T155', 'T298']",9,11,"[0.0807480526952268, 0.08552361724909081, 0.09041737596773886, 0.07445382339764858]"
Talent 58,"['P5', 'P5']","['T71', 'T241']",11,9,"[0.10140030286987003, 0.10318861589379455]"
Talent 59,"['P4', 'P4', 'P4']","['T70', 'T95', 'T231']",11,9,"[0.0704676644986874, 0.06744221248136112, 0.06145946311393997]"
Talent 60,"['P2', 'P2']","['T164', 'T223']",10,10,"[0.06986092778433975, 0.08935352941748785]"
Talent 61,"['P1', 'P1', 'P1', 'P1']","['T128', 'T129', 'T189', 'T266']",11,9,"[0.09152148791178719, 0.07482831006296545, 0.08101670771370004, 0.07753874484371973]"
Talent 62,"['P5', 'P5']","['T72', 'T280']",11,9,"[0.08990718149609145, 0.08906770405826715]"
Talent 63,"['P2', 'P2']","['T46', 'T91']",11,9,"[0.06659271874739672, 0.06530329024175391]"
Talent 64,"['P5', 'P5', 'P5', 'P5']","['T3', 'T142', 'T211', 'T268']",11,9,"[0.07439443960986107, 0.07201142347803167, 0.08616952978153843, 0.0847147476117933]"
Talent 65,['P1'],['T226'],8,12,[0.08035017801738151]
Talent 66,"['P3', 'P3', 'P3']","['T80', 'T197', 'T289']",11,9,"[0.06890394683528137, 0.07128511219161092, 0.06663494383152921]"
Talent 67,"['P2', 'P2']","['T114', 'T145']",10,10,"[0.07675925082444879, 0.0714416572718297]"
Talent 68,"['P4', 'P4']","['T96', 'T118']",11,9,"[0.06964204558036725, 0.06680467029767906]"
Talent 69,"['P3', 'P3', 'P3', 'P3']","['T24', 'T100', 'T113', 'T227']",10,10,"[0.08425369313576667, 0.07777569546006668, 0.09154962896172196, 0.07539335859039299]"
Talent 70,"['P2', 'P2', 'P2']","['T88', 'T125', 'T157']",11,9,"[0.09311028502301187, 0.08865696780324378, 0.10109236446777904]"
Talent 71,"['P1', 'P1', 'P1']","['T74', 'T174', 'T251']",11,9,"[0.09071688513181941, 0.08830234469045686, 0.09138118387057434]"
Talent 72,"['P1', 'P1', 'P1']","['T75', 'T230', 'T275']",11,9,"[0.09669624748546961, 0.07089832018933613, 0.07808365400662104]"
Talent 73,"['P1', 'P1', 'P1', 'P1']","['T29', 'T55', 'T112', 'T233']",11,9,"[0.08509375257044058, 0.0934084597300509, 0.08988057565169832, 0.08974791141376438]"
Talent 74,"['P4', 'P4', 'P4']","['T184', 'T199', 'T281']",11,9,"[0.0636148444074795, 0.05904101759094557, 0.056905251618299894]"
Talent 75,"['P2', 'P2']","['T161', 'T260']",10,10,"[0.0718910130021613, 0.06938932857537376]"
Talent 76,"['P1', 'P1', 'P1', 'P1']","['T4', 'T148', 'T258', 'T269']",11,9,"[0.058367635740824576, 0.06648751451835501, 0.07550174634851904, 0.06175849961647674]"
Talent 77,"['P1', 'P1', 'P1', 'P1']","['T105', 'T122', 'T210', 'T273']",11,9,"[0.08088203575739916, 0.08392907782493496, 0.08554642820984011, 0.10499266839576207]"
Talent 78,"['P4', 'P4']","['T56', 'T106']",10,10,"[0.06474461855544286, 0.06347783377332532]"
Talent 79,"['P5', 'P5', 'P5']","['T7', 'T51', 'T130']",11,9,"[0.08369346875323005, 0.07944484309921739, 0.0800882660315114]"
Talent 80,"['P2', 'P2']","['T177', 'T274']",11,9,"[0.0722812402000212, 0.08772916493173279]"
Talent 81,"['P2', 'P2', 'P2', 'P2']","['T62', 'T69', 'T109', 'T117']",10,10,"[0.07603511878890085, 0.0722948128509986, 0.07449845718949663, 0.06640371765750218]"
Talent 82,"['P3', 'P3', 'P3', 'P3']","['T119', 'T176', 'T255', 'T300']",11,9,"[0.061700004252300704, 0.0558976518101062, 0.06013578848821092, 0.05393618311705596]"
Talent 83,"['P5', 'P5', 'P5']","['T110', 'T172', 'T178']",11,9,"[0.09876487533363525, 0.08919727307189564, 0.10731163837586757]"
Talent 84,"['P3', 'P3', 'P3', 'P3']","['T158', 'T246', 'T278', 'T287']",11,9,"[0.07857026844386972, 0.0666560872348946, 0.06313475110054578, 0.07677558504488809]"
Talent 85,"['P2', 'P2', 'P2']","['T131', 'T135', 'T200']",11,9,"[0.060722917091615015, 0.06055675259093238, 0.06131978573260019]"
Talent 86,"['P2', 'P2']","['T5', 'T32']",10,10,"[0.07163883437979943, 0.07353513369295421]"
Talent 87,"['P1', 'P1']","['T87', 'T239']",11,9,"[0.0753779137326626, 0.065046628828136]"
Talent 88,"['P2', 'P2']","['T224', 'T279']",10,10,"[0.08709488797077057, 0.09926768515423114]"
Talent 89,"['P3', 'P3']","['T92', 'T214']",10,10,"[0.06029065357029737, 0.07177121999330076]"
Talent 90,"['P5', 'P5', 'P5', 'P5']","['T42', 'T60', 'T168', 'T198']",11,9,"[0.08552361724909081, 0.08623963363970677, 0.0908540461929189, 0.07221349439096557]"
Talent 91,"['P1', 'P1', 'P1']","['T38', 'T292', 'T294']",11,9,"[0.08598344475655936, 0.08395059865992513, 0.09009410830061464]"
Talent 92,"['P5', 'P5', 'P5']","['T139', 'T187', 'T288']",11,9,"[0.1001857203791421, 0.08896446757474863, 0.0986226637088963]"
Talent 93,"['P4', 'P4', 'P4', 'P4']","['T35', 'T61', 'T99', 'T190']",10,10,"[0.07796344596025315, 0.08203929617197658, 0.0850041032206833, 0.08480345547179845]"
Talent 94,"['P1', 'P1']","['T36', 'T40']",10,10,"[0.09223316932879437, 0.10397376269742584]"
Talent 95,"['P1', 'P1', 'P1']","['T26', 'T107', 'T206']",11,9,"[0.08408008293693027, 0.08327027583709073, 0.08800185269196703]"
Talent 96,"['P3', 'P3', 'P3']","['T115', 'T166', 'T202']",10,10,"[0.07743787385210515, 0.07928195369587308, 0.08156240547064704]"
Talent 97,"['P3', 'P3']","['T34', 'T245']",10,10,"[0.06400335525560295, 0.06757418505030767]"
Talent 98,"['P4', 'P4', 'P4', 'P4']","['T81', 'T94', 'T240', 'T247']",11,9,"[0.09380055412411147, 0.09188942814050753, 0.10435223109709847, 0.09855179624203422]"
Talent 99,['P2'],['T11'],8,12,[0.08377890802355696]
Talent 100,"['P2', 'P2']","['T127', 'T229']",10,10,"[0.06362401074020493, 0.059558224334641675]"
Talent 101,"['P2', 'P2', 'P2']","['T67', 'T259', 'T283']",11,9,"[0.07165203913835604, 0.08904186014934282, 0.07605098252926297]"
Talent 102,"['P4', 'P4', 'P4', 'P4']","['T20', 'T86', 'T124', 'T225']",11,9,"[0.08025633471954519, 0.08692653205237032, 0.09334858774523903, 0.09077167249205852]"
Talent 103,"['P1', 'P1']","['T248', 'T250']",11,9,"[0.054384076795331755, 0.0558606900894015]"
Talent 104,"['P3', 'P3']","['T53', 'T154']",10,10,"[0.08525134514533353, 0.08596027144498222]"
Talent 105,"['P3', 'P3']","['T270', 'T286']",11,9,"[0.08236205165586709, 0.09334858774523903]"
Talent 106,"['P1', 'P1', 'P1']","['T14', 'T21', 'T195']",10,10,"[0.07637041545210516, 0.07841283761220812, 0.0798474069249647]"
Talent 107,"['P1', 'P1', 'P1']","['T2', 'T30', 'T252']",11,9,"[0.08726425730622053, 0.08951063694345168, 0.09118587381509188]"
Talent 108,"['P2', 'P2', 'P2']","['T6', 'T235', 'T299']",11,9,"[0.08586777105442917, 0.09255179483249862, 0.09737076184683655]"
Talent 109,"['P5', 'P5']","['T183', 'T236']",11,9,"[0.09740487260891788, 0.08753248155487238]"
Talent 110,"['P1', 'P1', 'P1', 'P1']","['T54', 'T159', 'T171', 'T244']",11,9,"[0.09826990141302366, 0.10708168717545809, 0.10343455876533002, 0.09636438843332631]"
Talent 112,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T10', 'T23', 'T219', 'T228', 'T264', 'T284']",11,9,"[0.08053888551311189, 0.06156693582232666, 0.06412509207229446, 0.0626306257717299, 0.06140183087563383, 0.06948526888448847]"
