employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 17,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T10', 'T24', 'T89', 'T176', 'T208', 'T219', 'T284', 'T287']",11,9,"[0.0663515090328441, 0.05399155381678181, 0.056108524259789794, 0.05441244915941119, 0.05399155381678181, 0.05421478728848143, 0.05576861189825108, 0.06747513137413291]"
Talent 18,"['P2', 'P2', 'P2']","['T109', 'T157', 'T256']",11,9,"[0.06155036405416455, 0.06302758521508411, 0.06687934435957435]"
Talent 19,['P4'],['T118'],8,12,[0.08246372016743404]
Talent 20,"['P4', 'P4', 'P4']","['T102', 'T186', 'T190']",11,9,"[0.059982135810824976, 0.06948526888448847, 0.058715701335474206]"
Talent 21,"['P5', 'P5']","['T1', 'T242']",11,9,"[0.07475294847183077, 0.08146412654161311]"
Talent 22,"['P2', 'P2', 'P2']","['T28', 'T108', 'T135']",11,9,"[0.06073881526029963, 0.0663515090328441, 0.062275547527861276]"
Talent 23,"['P3', 'P3']","['T192', 'T202']",10,10,"[0.07733740645364755, 0.07933613558867435]"
Talent 24,"['P4', 'P4']","['T261', 'T267']",10,10,"[0.07940855619903713, 0.07420244513884873]"
Talent 25,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T22', 'T27', 'T45', 'T168', 'T187', 'T207']",11,9,"[0.06393809767499296, 0.05734681056747976, 0.06450417171276145, 0.06229272541731814, 0.06427590197133604, 0.058794715974108076, 0.05649940516768052]"
Talent 26,"['P5', 'P5']","['T13', 'T111']",11,9,"[0.07294171371635882, 0.07402656730898478]"
Talent 27,"['P2', 'P2', 'P2']","['T79', 'T165', 'T299']",11,9,"[0.06902136978188177, 0.061426510113375, 0.065283436584688]"
Talent 28,"['P3', 'P3']","['T93', 'T119']",11,9,"[0.08360829826581942, 0.07637041545210517]"
Talent 29,"['P2', 'P2', 'P2', 'P2', 'P2']","['T19', 'T69', 'T131', 'T291', 'T293']",11,9,"[0.06697573169275199, 0.05747394988199934, 0.06136076626943499, 0.05716100655011322, 0.06080253573956103]"
Talent 30,"['P2', 'P2']","['T91', 'T125']",11,9,"[0.07590857496485436, 0.07720407304680764]"
Talent 31,"['P2', 'P2']","['T223', 'T235']",10,10,"[0.07645092207204773, 0.08279168445845828]"
Talent 34,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T38', 'T41', 'T75', 'T105', 'T252', 'T258']",11,9,"[0.06165000032850216, 0.06063570453903628, 0.06123807571263201, 0.05743370745386917, 0.054583639049126324, 0.06865934407787179]"
Talent 35,"['P5', 'P5', 'P5']","['T52', 'T143', 'T178']",11,9,"[0.0602440657870569, 0.056473935189436365, 0.06442780558349541]"
Talent 36,"['P1', 'P1']","['T54', 'T294']",11,9,"[0.07276100283555882, 0.071090906898268]"
Talent 37,"['P2', 'P2']","['T104', 'T249']",10,10,"[0.08297794511877644, 0.07813534705500798]"
Talent 38,"['P5', 'P5', 'P5', 'P5']","['T77', 'T139', 'T142', 'T175']",11,9,"[0.06012807719284031, 0.06627862828259926, 0.06322448425641594, 0.06689003302674301]"
Talent 39,['P1'],['T36'],8,12,[0.08534180438865621]
Talent 40,"['P4', 'P4']","['T101', 'T199']",11,9,"[0.07915597204275508, 0.0687405815415936]"
Talent 41,"['P2', 'P2']","['T170', 'T177']",11,9,"[0.06902136978188177, 0.07362112749227488]"
Talent 42,"['P2', 'P2']","['T76', 'T150']",10,10,"[0.08048212963979484, 0.07738758987396056]"
Talent 43,"['P2', 'P2']","['T88', 'T265']",11,9,"[0.07123316455861121, 0.07215943822306659]"
Talent 44,"['P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T84', 'T95', 'T136', 'T151']",11,9,"[0.06123807571263201, 0.06667725125746925, 0.06384522569446346, 0.06228413465663938, 0.06474461855544286]"
Talent 45,"['P4', 'P4']","['T57', 'T212']",10,10,"[0.08220018449835163, 0.08301951253873768]"
Talent 46,"['P4', 'P4']","['T61', 'T215']",10,10,"[0.07280258300214873, 0.07903060612437517]"
Talent 47,"['P3', 'P3']","['T58', 'T163']",11,9,"[0.08268876295502826, 0.07695597170676968]"
Talent 48,"['P1', 'P1']","['T30', 'T138']",11,9,"[0.08285362771258557, 0.08423193122816985]"
Talent 49,"['P5', 'P5', 'P5', 'P5']","['T3', 'T7', 'T141', 'T218']",11,9,"[0.054475028009782905, 0.06349604956725478, 0.05512498322695581, 0.06544278679161242]"
Talent 50,"['P5', 'P5']","['T72', 'T194']",11,9,"[0.08852981086654285, 0.07995829445140047]"
Talent 51,"['P1', 'P1', 'P1', 'P1']","['T2', 'T40', 'T107', 'T204']",11,9,"[0.06335077050836846, 0.0588740571551276, 0.06207904006671889, 0.06594856182907902]"
Talent 52,"['P4', 'P4']","['T43', 'T160']",11,9,"[0.07232198170312329, 0.07955401164040797]"
Talent 53,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T158', 'T182', 'T214', 'T228', 'T271', 'T277']",11,9,"[0.06666666666666668, 0.06218132808042114, 0.06388232479440477, 0.059716113405663816, 0.0580258117703846, 0.06204505853923067]"
Talent 54,"['P1', 'P1']","['T26', 'T257']",10,10,"[0.07225411841006987, 0.07551726954689139]"
Talent 55,"['P1', 'P1', 'P1']","['T230', 'T239', 'T266']",11,9,"[0.06090651991808503, 0.061833958377068676, 0.06545278587188537]"
Talent 56,"['P4', 'P4', 'P4']","['T96', 'T184', 'T295']",11,9,"[0.06095469680277203, 0.06731102858927235, 0.06775138917008953]"
Talent 57,"['P4', 'P4']","['T81', 'T82']",10,10,"[0.07120723438010626, 0.06815537758590283]"
Talent 58,['P3'],['T270'],8,12,[0.08275046837195289]
Talent 59,"['P2', 'P2']","['T32', 'T216']",10,10,"[0.07163883437979941, 0.06297421107606485]"
Talent 60,"['P5', 'P5']","['T181', 'T183']",11,9,"[0.07490390621669625, 0.08164129284926733]"
Talent 61,"['P3', 'P3']","['T68', 'T227']",11,9,"[0.07801489375594153, 0.06944924349241163]"
Talent 62,['P1'],['T290'],8,12,[0.08478125157708608]
Talent 63,"['P5', 'P5']","['T42', 'T288']",11,9,"[0.07218645073354266, 0.0687057293242826]"
Talent 64,"['P3', 'P3']","['T97', 'T173']",11,9,"[0.07010662916674898, 0.06826891689304215]"
Talent 65,"['P1', 'P1']","['T206', 'T250']",11,9,"[0.07383747429521015, 0.07267806134851214]"
Talent 66,"['P5', 'P5', 'P5']","['T172', 'T198', 'T221']",11,9,"[0.0655128790110859, 0.06399402023049842, 0.06228413465663938]"
Talent 67,"['P5', 'P5']","['T193', 'T241']",11,9,"[0.07356376391589424, 0.06673025174531177]"
Talent 68,"['P5', 'P5']","['T64', 'T144']",11,9,"[0.05986768238584235, 0.0648512902664898]"
Talent 69,"['P2', 'P2']","['T33', 'T224']",11,9,"[0.08059576514695896, 0.07728732325272661]"
Talent 70,"['P3', 'P3']","['T126', 'T246']",11,9,"[0.08966860350813238, 0.08556925800277417]"
Talent 71,"['P3', 'P3']","['T103', 'T285']",10,10,"[0.0787640148289452, 0.08172041638833757]"
Talent 72,"['P3', 'P3']","['T120', 'T289']",10,10,"[0.0798474069249647, 0.07043005058612664]"
Talent 73,"['P4', 'P4']","['T146', 'T253']",11,9,"[0.08760607773467766, 0.08390757403692847]"
Talent 74,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T37', 'T85', 'T98', 'T99', 'T124', 'T156', 'T185', 'T217']",11,9,"[0.054299230331259676, 0.06403138542094264, 0.05520197066812275, 0.059121382562409945, 0.06063570453903628, 0.059640768411962045, 0.059121382562409945, 0.06657163699930925]"
Talent 75,"['P1', 'P1']","['T21', 'T189']",11,9,"[0.06845179516266667, 0.0693773646512648]"
Talent 76,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T70', 'T106', 'T123', 'T196', 'T240', 'T247', 'T272']",11,9,"[0.06061198583966346, 0.06009726228086157, 0.06268311102432614, 0.06054887471104066, 0.05960320495756509, 0.05980691348166338, 0.06828030282252998]"
Talent 77,"['P5', 'P5']","['T17', 'T132']",11,9,"[0.07478306503927783, 0.07755559610588451]"
Talent 78,"['P3', 'P3', 'P3', 'P3', 'P3']","['T34', 'T137', 'T188', 'T197', 'T203']",11,9,"[0.05811590206951959, 0.06493896952004903, 0.06285020857332843, 0.06001277011989484, 0.06325148058480325]"
Talent 79,"['P2', 'P2']","['T5', 'T6']",10,10,"[0.07342095495507706, 0.0674971047484238]"
Talent 80,"['P2', 'P2']","['T11', 'T63']",11,9,"[0.07481321901901213, 0.07586128810225813]"
Talent 81,"['P4', 'P4']","['T94', 'T262']",11,9,"[0.07202484076803108, 0.07116839350571612]"
Talent 82,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T74', 'T112', 'T128', 'T159', 'T195', 'T244', 'T292']",11,9,"[0.056114763289993735, 0.06421922080250597, 0.059784173813723675, 0.05780585984079421, 0.05493686583748639, 0.06417210347788144, 0.06107565188442043]"
Talent 83,['P4'],['T56'],8,12,[0.0858216361938786]
Talent 84,"['P3', 'P3', 'P3', 'P3', 'P3']","['T59', 'T113', 'T180', 'T232', 'T300']",11,9,"[0.06259571038519862, 0.06207904006671889, 0.061708350334485525, 0.057710430156282605, 0.05501305147148979]"
Talent 85,"['P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T53', 'T100', 'T115', 'T286']",11,9,"[0.05907750562216512, 0.06460002117882899, 0.05441244915941119, 0.05595323494638667, 0.058572867623011365]"
Talent 86,"['P2', 'P2']","['T46', 'T274']",11,9,"[0.06676211421813397, 0.06720230543880701]"
Talent 87,"['P1', 'P1']","['T226', 'T248']",11,9,"[0.06724572992434567, 0.06801989334474905]"
Talent 88,"['P3', 'P3']","['T48', 'T264']",10,10,"[0.07890585088461621, 0.07946300575119868]"
Talent 89,"['P5', 'P5', 'P5', 'P5']","['T16', 'T65', 'T147', 'T268']",11,9,"[0.06178362115933177, 0.06073086458163293, 0.05944622612997764, 0.06228413465663938]"
Talent 90,"['P5', 'P5', 'P5']","['T31', 'T133', 'T243']",11,9,"[0.06886883952103663, 0.07033004792867645, 0.0685322792742915]"
Talent 91,"['P2', 'P2']","['T162', 'T167']",10,10,"[0.0734779760311297, 0.07906636242404035]"
Talent 92,"['P4', 'P4']","['T225', 'T254']",10,10,"[0.07979214086871816, 0.08010688669258952]"
Talent 93,"['P5', 'P5']","['T209', 'T280']",11,9,"[0.07000803009004834, 0.08605308083972632]"
Talent 94,['P4'],['T231'],8,12,[0.08331229777136151]
Talent 95,"['P1', 'P1']","['T179', 'T275']",11,9,"[0.07440927187789023, 0.07796344596025316]"
Talent 96,"['P2', 'P2']","['T62', 'T67']",11,9,"[0.07662896161659954, 0.06560333717383425]"
Talent 97,"['P3', 'P3', 'P3']","['T25', 'T166', 'T191']",11,9,"[0.0697026345878341, 0.06642463646182707, 0.06274451464355396]"
Talent 98,['P2'],['T145'],8,12,[0.08753248155487238]
Talent 99,"['P2', 'P2']","['T134', 'T220']",11,9,"[0.0823823543753547, 0.08812667240070743]"
Talent 100,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T47', 'T49', 'T114', 'T229', 'T260', 'T298']",11,9,"[0.057635787075998604, 0.055738022189151804, 0.06224980790713384, 0.059558224334641675, 0.05993627404635968, 0.058053486309424286]"
Talent 101,"['P4', 'P4']","['T20', 'T39']",11,9,"[0.06564366408197654, 0.07312381353583107]"
Talent 102,['P3'],['T154'],8,12,[0.08563786063744522]
Talent 103,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T44', 'T152', 'T155', 'T200', 'T205', 'T213', 'T259', 'T279', 'T283']",11,9,"[0.0544978385763249, 0.058715701335474206, 0.05867989292856159, 0.05674313627017765, 0.05598418762325524, 0.054583639049126324, 0.05829036315924428, 0.056614456626265, 0.053311646243339145]"
Talent 104,"['P1', 'P1']","['T148', 'T171']",10,10,"[0.08140533445810427, 0.08464840471126543]"
Talent 105,"['P3', 'P3']","['T237', 'T278']",10,10,"[0.07697243537210795, 0.07862296249998507]"
Talent 106,"['P2', 'P2']","['T117', 'T164']",10,10,"[0.07315195331854307, 0.06608204153902103]"
Talent 107,['P1'],['T238'],8,12,[0.09313996967708389]
Talent 108,"['P1', 'P1']","['T149', 'T251']",11,9,"[0.07919190374812897, 0.0800882660315114]"
Talent 109,"['P2', 'P2']","['T9', 'T140']",10,10,"[0.08115207455797586, 0.08126866095307622]"
Talent 110,['P2'],['T161'],8,12,[0.09346845103455478]
Talent 112,"['P1', 'P1', 'P1', 'P1', 'P1']","['T4', 'T129', 'T174', 'T222', 'T273']",11,9,"[0.057874320439771615, 0.06005113050204316, 0.06228413465663938, 0.061197345655782935, 0.06854380076457173]"
