employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 20,"['P4', 'P4', 'P4', 'P4']","['T95', 'T102', 'T160', 'T186']",20,0,"[0.06862461824158754, 0.059982135810824976, 0.0641063170777517, 0.06948526888448847]"
Talent 21,['P5'],['T1'],8,12,[0.07475294847183077]
Talent 22,"['P1', 'P1', 'P1']","['T87', 'T121', 'T226']",19,1,"[0.0689860783250359, 0.06959369079856244, 0.06462886136599291]"
Talent 26,"['P4', 'P4', 'P4']","['T56', 'T61', 'T267']",18,2,"[0.07141549295761934, 0.071984611958757, 0.06844032113066739]"
Talent 27,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T18', 'T42', 'T60', 'T65', 'T90', 'T132', 'T143', 'T172', 'T276']",19,1,"[0.06695427541053767, 0.0680649627580768, 0.0708855380693721, 0.06760730235965882, 0.062241235280174174, 0.06529336109668112, 0.06774027205451708, 0.05910674582750841, 0.062956450480245, 0.05759519702731296]"
Talent 29,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T23', 'T182', 'T192', 'T227', 'T237', 'T246', 'T284']",20,0,"[0.06032177349267819, 0.06707254701964874, 0.05799817758235196, 0.05497198832008546, 0.06759625771625809, 0.06715896698355679, 0.061043325280386265]"
Talent 31,['P3'],['T154'],8,12,[0.07971863612534585]
Talent 34,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T24', 'T163', 'T173', 'T180', 'T191', 'T214', 'T219', 'T232']",20,0,"[0.05911406280746802, 0.06412509207229446, 0.056710882466140984, 0.06267435411429507, 0.05780585984079421, 0.06725659952165407, 0.06091454129491367, 0.05716761071022377]"
Talent 35,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T14', 'T74', 'T105', 'T122', 'T149', 'T159', 'T174', 'T189', 'T222', 'T292']",20,0,"[0.05942390380585687, 0.06243932654320917, 0.06026734588501983, 0.06412509207229446, 0.06010496147242556, 0.0636699032638673, 0.06087446675333972, 0.06123807571263201, 0.06455204184779637, 0.06580573620984635]"
Talent 36,"['P3', 'P3', 'P3']","['T53', 'T97', 'T245']",18,2,"[0.0743352014793687, 0.07087276303596184, 0.06735466941241634]"
Talent 38,"['P3', 'P3', 'P3', 'P3', 'P3']","['T48', 'T80', 'T158', 'T188', 'T285']",20,0,"[0.06720230543880701, 0.06549282914802357, 0.07372184608169823, 0.06753010607102981, 0.07597176566820674]"
Talent 40,['P1'],['T250'],8,12,[0.0804254970736456]
Talent 41,"['P2', 'P2']","['T91', 'T170']",16,4,"[0.06990985622528449, 0.06902136978188177]"
Talent 43,['P2'],['T265'],8,12,[0.07215943822306659]
Talent 44,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T15', 'T20', 'T43', 'T82', 'T94', 'T99', 'T136']",19,1,"[0.06123807571263201, 0.058715701335474206, 0.06228413465663938, 0.05366190996305935, 0.05997448471666893, 0.06165000032850216, 0.06228413465663938]"
Talent 46,"['P2', 'P2']","['T11', 'T104']",13,7,"[0.07629016960255668, 0.07451335344705788]"
Talent 49,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T3', 'T16', 'T111', 'T144', 'T194', 'T218', 'T280', 'T282']",20,0,"[0.054475028009782905, 0.06148421345893858, 0.06535300559083679, 0.061434743285603124, 0.06494873413628223, 0.06544278679161242, 0.06839448404301798, 0.061011051061698685]"
Talent 51,"['P2', 'P2', 'P2']","['T5', 'T164', 'T224']",18,2,"[0.06338699466043406, 0.05359671634466152, 0.06294757594171675]"
Talent 52,"['P3', 'P3']","['T255', 'T270']",13,7,"[0.07662896161659956, 0.07837798494685516]"
Talent 53,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T22', 'T27', 'T31', 'T45', 'T77', 'T130', 'T139', 'T168', 'T169', 'T187', 'T193', 'T207', 'T211']",20,0,"[0.057683252990760533, 0.06744221248136112, 0.060267345885019835, 0.06422865701305262, 0.05530911361577576, 0.05781269474667684, 0.05959570095991734, 0.06549282914802358, 0.06661382101359625, 0.05970856578147216, 0.06185917418385635, 0.05771043015628261, 0.06195190260607192]"
Talent 54,['P3'],['T92'],8,12,[0.07182438544168727]
Talent 56,"['P3', 'P3', 'P3', 'P3', 'P3', 'P3', 'P3']","['T59', 'T115', 'T166', 'T197', 'T264', 'T286', 'T300']",20,0,"[0.06930571404640776, 0.05907750562216512, 0.06357821954950578, 0.06641417453023633, 0.0626306257717299, 0.06732193065068831, 0.05959570095991734]"
Talent 57,"['P5', 'P5']","['T12', 'T17']",16,4,"[0.08414505706708911, 0.07285813718638615]"
Talent 59,"['P2', 'P2', 'P2', 'P2']","['T32', 'T117', 'T140', 'T216']",20,0,"[0.07163883437979941, 0.061336167877534355, 0.07178450000117743, 0.06297421107606485]"
Talent 61,['P5'],['T183'],8,12,[0.08001391677929762]
Talent 63,"['P1', 'P1', 'P1', 'P1']","['T54', 'T75', 'T204', 'T238']",19,1,"[0.07098799400984225, 0.07021806526210786, 0.06684730980868757, 0.07484341048939364]"
Talent 64,"['P2', 'P2']","['T67', 'T235']",13,7,"[0.07207858697053993, 0.07727065106513095]"
Talent 65,"['P2', 'P2', 'P2']","['T76', 'T127', 'T249']",18,2,"[0.07787793169894072, 0.07531623165569554, 0.07030511542603836]"
Talent 66,"['P3', 'P3', 'P3', 'P3']","['T58', 'T73', 'T103', 'T278']",20,0,"[0.06886883952103662, 0.07436480237508594, 0.0690803124160488, 0.06761835254958573]"
Talent 67,"['P1', 'P1', 'P1']","['T36', 'T206', 'T233']",16,4,"[0.06972691561653295, 0.0747228692385414, 0.07399737897666148]"
Talent 68,"['P5', 'P5']","['T13', 'T64']",16,4,"[0.07084723420236258, 0.05986768238584235]"
Talent 72,"['P4', 'P4']","['T118', 'T212']",13,7,"[0.06936540706703206, 0.07517801369066933]"
Talent 74,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T37', 'T84', 'T85', 'T98', 'T124', 'T151', 'T156', 'T185', 'T215', 'T217']",20,0,"[0.054299230331259676, 0.06280610311458464, 0.06403138542094264, 0.05520197066812275, 0.06063570453903628, 0.06474461855544286, 0.059640768411962045, 0.059121382562409945, 0.06245664338304727, 0.06657163699930925]"
Talent 75,"['P3', 'P3', 'P3']","['T93', 'T100', 'T119']",14,6,"[0.07273332330483806, 0.06654005277528165, 0.07035500764589368]"
Talent 76,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T57', 'T70', 'T106', 'T123', 'T190', 'T225', 'T240', 'T247', 'T272', 'T295']",20,0,"[0.06512527153731507, 0.06061198583966346, 0.06009726228086157, 0.06268311102432614, 0.05489014243234527, 0.06335982059262067, 0.05960320495756509, 0.05980691348166338, 0.06828030282252998, 0.06856686161685452]"
Talent 78,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T4', 'T29', 'T40', 'T138', 'T239', 'T252', 'T266']",19,1,"[0.05922415149837589, 0.06282373390401852, 0.05636607839027819, 0.06465774110576278, 0.055410890434696235, 0.059633249919326364, 0.05777172237849091]"
Talent 79,"['P2', 'P2', 'P2']","['T6', 'T150', 'T297']",18,2,"[0.0674971047484238, 0.07649935180868242, 0.07733740645364755]"
Talent 80,"['P5', 'P5']","['T209', 'T288']",16,4,"[0.06298309713894523, 0.07966364451809242]"
Talent 81,"['P1', 'P1', 'P1']","['T171', 'T210', 'T294']",18,2,"[0.08312371330262042, 0.07175794754281464, 0.07494937701133753]"
Talent 82,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T2', 'T107', 'T230', 'T248', 'T257', 'T275']",20,0,"[0.06123807571263201, 0.056423100452683894, 0.0503771044801456, 0.055501170855669156, 0.05312591320124148, 0.05674959376991009]"
Talent 84,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T46', 'T49', 'T125', 'T162', 'T177', 'T223']",20,0,"[0.05880911728876346, 0.056697996644192665, 0.05741361855572611, 0.05650577815620389, 0.05967840448257693, 0.06253475182868456]"
Talent 85,"['P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1', 'P1']","['T38', 'T41', 'T55', 'T66', 'T112', 'T128', 'T129', 'T195', 'T244', 'T258', 'T269', 'T273']",20,0,"[0.06178362115933177, 0.0660923436047874, 0.06645605265095238, 0.054843540336534075, 0.071039393121306, 0.06912757810249226, 0.057744456799193926, 0.05997448471666893, 0.06704022749186195, 0.06960576981524735, 0.06112424032617915, 0.06906851150979973]"
Talent 86,"['P2', 'P2', 'P2']","['T88', 'T161', 'T274']",19,1,"[0.060826483793155126, 0.06845179516266667, 0.06720230543880701]"
Talent 87,"['P3', 'P3', 'P3']","['T25', 'T68', 'T202']",18,2,"[0.07202484076803108, 0.07140242185198284, 0.0746029240923899]"
Talent 89,"['P1', 'P1', 'P1']","['T26', 'T148', 'T251']",18,2,"[0.06091454129491367, 0.07029265936458257, 0.061451219783545834]"
Talent 90,"['P5', 'P5', 'P5', 'P5']","['T51', 'T133', 'T221', 'T243']",20,0,"[0.07205169844589243, 0.07033004792867645, 0.06718062547532756, 0.0685322792742915]"
Talent 95,"['P1', 'P1']","['T21', 'T179']",16,4,"[0.07700539531011777, 0.07440927187789023]"
Talent 96,"['P5', 'P5', 'P5']","['T72', 'T110', 'T198']",18,2,"[0.07910216869209379, 0.08335438532065781, 0.07131112975610775]"
Talent 97,"['P4', 'P4', 'P4', 'P4']","['T101', 'T184', 'T196', 'T199']",18,2,"[0.07266426604320682, 0.0707327034961072, 0.06205354857392248, 0.061808774057577266]"
Talent 99,['P2'],['T134'],8,12,[0.0823823543753547]
Talent 100,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T141', 'T147', 'T234', 'T236', 'T241', 'T242']",20,0,"[0.0508782654356704, 0.06016666399923173, 0.0636699032638673, 0.061960353611833704, 0.05512498322695582, 0.0675521345143351]"
Talent 101,"['P3', 'P3', 'P3']","['T116', 'T120', 'T289']",18,2,"[0.06849775048479613, 0.08132714847673264, 0.07073270349610719]"
Talent 103,"['P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2', 'P2']","['T19', 'T44', 'T108', 'T155', 'T200', 'T205', 'T213', 'T220', 'T229', 'T260', 'T279', 'T283', 'T291']",20,0,"[0.058751576744187316, 0.0544978385763249, 0.05794302986459342, 0.05867989292856159, 0.05674313627017765, 0.05598418762325524, 0.054583639049126324, 0.058011989638673093, 0.05139496840002798, 0.051829861074974, 0.056614456626265, 0.053311646243339145, 0.05207637917851078]"
Talent 104,"['P4', 'P4', 'P4']","['T146', 'T253', 'T254']",19,1,"[0.084736897671583, 0.07806644641927951, 0.07369302605080597]"
Talent 112,"['P2', 'P2', 'P2', 'P2']","['T28', 'T135', 'T157', 'T165']",20,0,"[0.05864415131342601, 0.059371918071019436, 0.06254344904893328, 0.05829036315924428]"
