employee,company,assigned_task,sum_sp,wasted_sp,similarity_score
Talent 51,"['P5', 'P5', 'P5']","['T172', 'T181', 'T243']",9,11,"[0.06420036113669239, 0.06418151845645056, 0.06805368680187708]"
Talent 52,['P4'],['T35'],3,17,[0.07437961644539572]
Talent 53,"['P5', 'P5', 'P5']","['T130', 'T139', 'T169']",4,16,"[0.05781269474667684, 0.05959570095991734, 0.06661382101359625]"
Talent 54,"['P5', 'P5', 'P5']","['T64', 'T77', 'T78']",15,5,"[0.07616231510513724, 0.07407041637327075, 0.088277182238673]"
Talent 55,"['P1', 'P1']","['T159', 'T266']",5,15,"[0.07556389822198462, 0.06545278587188537]"
Talent 56,"['P3', 'P3', 'P3']","['T53', 'T58', 'T263']",12,8,"[0.07243097223843986, 0.06548281127831462, 0.06742029394482112]"
Talent 57,"['P3', 'P3']","['T59', 'T214']",4,16,"[0.08612289171958645, 0.09523013987103701]"
Talent 58,"['P5', 'P5', 'P5', 'P5']","['T50', 'T51', 'T187', 'T268']",14,6,"[0.08442841654700486, 0.08958951235081357, 0.09901528768779781, 0.08820182790160212]"
Talent 59,"['P3', 'P3']","['T25', 'T92']",13,7,"[0.08961585204853459, 0.06585663626971887]"
Talent 60,"['P2', 'P2']","['T79', 'T274']",13,7,"[0.09281504381966073, 0.08721576205752134]"
Talent 61,"['P3', 'P3']","['T126', 'T277']",10,10,"[0.09308062970302404, 0.08830234469045685]"
Talent 62,"['P4', 'P4']","['T86', 'T146']",13,7,"[0.09009410830061464, 0.09121369603284353]"
Talent 63,"['P5', 'P5', 'P5']","['T72', 'T211', 'T241']",17,3,"[0.07815260154475363, 0.07329315408792961, 0.068394484043018]"
Talent 64,['P3'],['T180'],3,17,[0.08201925345855558]
Talent 65,"['P5', 'P5']","['T45', 'T168']",3,17,"[0.07848268662556937, 0.08238235437535468]"
Talent 66,"['P4', 'P4', 'P4', 'P4']","['T215', 'T217', 'T240', 'T261']",14,6,"[0.0797369927156037, 0.08458222221845027, 0.07559503334401937, 0.08134667322696928]"
Talent 67,"['P5', 'P5', 'P5', 'P5', 'P5']","['T60', 'T71', 'T183', 'T276', 'T280']",18,2,"[0.07960876982926948, 0.07564181024639711, 0.07667774013050205, 0.0675411175334275, 0.07827371299106872]"
Talent 68,"['P4', 'P4']","['T81', 'T185']",6,14,"[0.06200266172456818, 0.07890585088461623]"
Talent 69,"['P2', 'P2', 'P2', 'P2', 'P2']","['T33', 'T205', 'T213', 'T224', 'T298']",15,5,"[0.08059576514695896, 0.08218002013298241, 0.07951757069767086, 0.07728732325272661, 0.08020019089495374]"
Talent 70,"['P4', 'P4']","['T96', 'T199']",6,14,"[0.08614620098465553, 0.08858060582693185]"
Talent 71,['P1'],['T149'],3,17,[0.07986585521790679]
Talent 72,"['P3', 'P3', 'P3']","['T10', 'T191', 'T227']",7,13,"[0.08753248155487238, 0.07679192998680799, 0.07641868804027986]"
Talent 73,['P5'],['T83'],8,12,[0.08974791141376438]
Talent 74,"['P3', 'P3']","['T23', 'T68']",9,11,"[0.059409036512886065, 0.05801889944433329]"
Talent 75,['P5'],['T296'],5,15,[0.0834810433920308]
Talent 76,"['P4', 'P4']","['T95', 'T281']",5,15,"[0.06499762491038485, 0.06002043619011851]"
Talent 77,"['P1', 'P1']","['T2', 'T129']",3,17,"[0.07887031799501584, 0.08371480331657997]"
Talent 78,"['P4', 'P4']","['T61', 'T186']",10,10,"[0.06245664338304727, 0.06583626174307075]"
Talent 79,"['P4', 'P4', 'P4']","['T101', 'T254', 'T295']",19,1,"[0.08782802115963766, 0.07616231510513724, 0.08731283612593001]"
Talent 80,"['P4', 'P4']","['T190', 'T196']",3,17,"[0.06976338597639496, 0.07033004792867646]"
Talent 81,"['P2', 'P2', 'P2']","['T67', 'T117', 'T249']",18,2,"[0.06895084228135696, 0.06640371765750218, 0.07853519954535629]"
Talent 82,"['P3', 'P3', 'P3']","['T73', 'T97', 'T284']",14,6,"[0.05857998405460474, 0.05633447555644745, 0.06012807719284031]"
Talent 83,"['P1', 'P1']","['T30', 'T204']",13,7,"[0.08988057565169832, 0.08951063694345167]"
Talent 84,"['P4', 'P4', 'P4', 'P4']","['T39', 'T84', 'T94', 'T102']",19,1,"[0.06219842637937345, 0.06738745713601366, 0.0632154933315378, 0.05629662362228646]"
Talent 85,"['P1', 'P1', 'P1']","['T174', 'T251', 'T257']",15,5,"[0.060438913110033354, 0.05915068936740821, 0.05952081980960499]"
Talent 86,"['P2', 'P2', 'P2']","['T76', 'T297', 'T299']",14,6,"[0.07417304277328127, 0.06879878953101484, 0.07221349439096557]"
Talent 87,"['P5', 'P5']","['T234', 'T242']",4,16,"[0.07867576574406682, 0.08046323843926946]"
Talent 88,"['P2', 'P2', 'P2', 'P2', 'P2']","['T19', 'T28', 'T62', 'T201', 'T283']",15,5,"[0.09754168800208396, 0.07669402092085749, 0.0878032747703878, 0.0866165250560005, 0.08609960195875019]"
Talent 89,"['P4', 'P4']","['T82', 'T160']",13,7,"[0.05537490382493787, 0.06218132808042114]"
Talent 90,"['P3', 'P3', 'P3', 'P3']","['T80', 'T119', 'T163', 'T202']",14,6,"[0.06889223828518641, 0.07649935180868242, 0.07430563684771693, 0.07392456293752545]"
Talent 91,"['P4', 'P4']","['T118', 'T231']",16,4,"[0.08080539003464095, 0.07690664578063923]"
Talent 92,"['P4', 'P4']","['T20', 'T247']",4,16,"[0.08373615470115366, 0.08172041638833757]"
Talent 93,"['P4', 'P4', 'P4', 'P4']","['T98', 'T151', 'T225', 'T253']",8,12,"[0.08160181971423942, 0.08520622659963463, 0.08191926629933802, 0.09284443732144677]"
Talent 94,['P4'],['T212'],5,15,[0.10435223109709846]
Talent 95,"['P3', 'P3', 'P3', 'P3']","['T115', 'T116', 'T203', 'T270']",20,0,"[0.08201925345855558, 0.0804066468751667, 0.08522877663746925, 0.08922325701685925]"
Talent 96,"['P3', 'P3']","['T228', 'T237']",6,14,"[0.0777756954600667, 0.08881030545861837]"
Talent 97,"['P1', 'P1']","['T4', 'T290']",11,9,"[0.06127071965322061, 0.07767387205027083]"
Talent 98,"['P1', 'P1', 'P1']","['T210', 'T248', 'T258']",9,11,"[0.09926768515423115, 0.09963174968368561, 0.10653601562893389]"
Talent 99,"['P2', 'P2', 'P2', 'P2']","['T32', 'T135', 'T140', 'T293']",17,3,"[0.08140533445810427, 0.08850444719189594, 0.07881711111319754, 0.09006733071621494]"
Talent 100,"['P1', 'P1', 'P1', 'P1']","['T107', 'T121', 'T138', 'T233']",14,6,"[0.061360766269435006, 0.06775138917008953, 0.06276209244625261, 0.06399402023049842]"
Talent 101,"['P2', 'P2', 'P2', 'P2', 'P2']","['T5', 'T150', 'T157', 'T200', 'T279']",18,2,"[0.07540881320423894, 0.07562620803556616, 0.07654787624867547, 0.07899489967566171, 0.08254533478100197]"
Talent 102,['P4'],['T85'],2,18,[0.09908719752641515]
Talent 103,"['P2', 'P2', 'P2']","['T152', 'T167', 'T291']",7,13,"[0.058715701335474206, 0.053365078408714434, 0.05207637917851078]"
Talent 104,"['P2', 'P2', 'P2']","['T134', 'T165', 'T229']",15,5,"[0.08130763819304365, 0.09014773756920325, 0.09597078903139546]"
Talent 105,"['P4', 'P4', 'P4']","['T15', 'T262', 'T267']",15,5,"[0.08027507630962138, 0.08126866095307621, 0.07437961644539572]"
Talent 106,"['P5', 'P5', 'P5', 'P5']","['T22', 'T178', 'T198', 'T209']",19,1,"[0.09183252326509186, 0.08827718223867297, 0.07832579543955075, 0.07158609012858122]"
Talent 107,"['P1', 'P1', 'P1', 'P1']","['T41', 'T112', 'T128', 'T244']",7,13,"[0.0924355363407428, 0.09510313397280307, 0.10503580114045136, 0.091074847463486]"
Talent 108,"['P2', 'P2', 'P2']","['T11', 'T114', 'T265']",18,2,"[0.0890418601493428, 0.0950714645918821, 0.08111332705741583]"
Talent 109,"['P1', 'P1', 'P1']","['T38', 'T122', 'T206']",6,14,"[0.08956319662525673, 0.09077167249205852, 0.08847910600929289]"
Talent 110,['P3'],['T255'],5,15,[0.0949766525574307]
Talent 112,"['P5', 'P5', 'P5']","['T133', 'T175', 'T282']",8,12,"[0.0704676644986874, 0.06609234360478738, 0.06016666399923173]"
