employee,company,assigned_task,sum_sp,wasted_sp,assessment_score
Talent 51,"['P1', 'P1']","['T148', 'T210']",10,10,"[-0.019017094017094012, -0.024511082138200784]"
Talent 52,"['P1', 'P1', 'P1']","['T121', 'T138', 'T230']",11,9,"[0.0008316008316008325, -0.0009483667017913597, -0.006872315501757126]"
Talent 53,['P2'],['T274'],8,12,[-0.023540315106580164]
Talent 54,"['P5', 'P5', 'P5']","['T7', 'T221', 'T282']",11,9,"[-0.008494572911750828, -0.01031894934333959, -0.010397295012679632]"
Talent 55,"['P4', 'P4']","['T184', 'T186']",10,10,"[-0.012872841444270025, -0.016999050332383664]"
Talent 56,['P2'],['T170'],8,12,[-0.029222174473571127]
Talent 57,"['P2', 'P2']","['T46', 'T224']",11,9,"[-0.019457013574660637, -0.017818889970788718]"
Talent 58,"['P3', 'P3', 'P3', 'P3', 'P3']","['T59', 'T103', 'T214', 'T232', 'T277']",10,10,"[0.0004048582995951464, 0.0004837929366231252, 0.0, 0.000961538461538465, 0.0008708272859216271]"
Talent 59,"['P3', 'P3']","['T25', 'T237']",10,10,"[-0.01446886446886447, -0.009628466771323922]"
Talent 60,"['P4', 'P4']","['T94', 'T160']",11,9,"[-0.016726897263810013, -0.015018315018315017]"
Talent 61,"['P2', 'P2']","['T91', 'T201']",11,9,"[-0.02229904926534141, -0.017906683480453975]"
Talent 62,"['P2', 'P2', 'P2']","['T69', 'T135', 'T164']",11,9,"[0.0089492207139266, 0.01082939406961753, 0.005544709098008588]"
Talent 63,"['P5', 'P5', 'P5']","['T51', 'T110', 'T211']",11,9,"[-0.0050967437470505, -0.004205866076369673, -0.008298368298368296]"
Talent 64,"['P5', 'P5', 'P5']","['T22', 'T52', 'T133']",11,9,"[-0.003614457831325299, -0.00923076923076923, -0.003602726387536513]"
Talent 65,"['P5', 'P5', 'P5']","['T172', 'T198', 'T243']",11,9,"[-0.008329250367466925, -0.00813326800587947, -0.009116809116809113]"
Talent 66,"['P5', 'P5']","['T71', 'T72']",11,9,"[-0.012418906394810003, -0.00949050949050949]"
Talent 67,"['P4', 'P4', 'P4']","['T61', 'T70', 'T215']",11,9,"[-0.020699300699300704, -0.01911132345914954, -0.016568047337278114]"
Talent 68,"['P2', 'P2']","['T63', 'T265']",11,9,"[-0.012820512820512817, -0.019291819291819296]"
Talent 69,"['P5', 'P5', 'P5']","['T78', 'T142', 'T169']",11,9,"[-0.0017351069982648939, -0.008636977058029688, -0.0030145530145530113]"
Talent 70,"['P3', 'P3', 'P3', 'P3']","['T24', 'T34', 'T192', 'T203']",11,9,"[0.003418803418803419, 0.0007778738115816752, 0.0030578117534639324, 0.00040485829959514125]"
Talent 71,"['P2', 'P2', 'P2']","['T104', 'T235', 'T299']",11,9,"[-0.002897102897102897, -0.0022459292532285256, -0.00211161387631976]"
Talent 72,"['P5', 'P5', 'P5', 'P5', 'P5']","['T8', 'T139', 'T207', 'T218', 'T268']",11,9,"[-0.0014071294559099415, -0.0052467763450422394, -0.005379896177442189, -0.0023821339950372226, -0.004472271914132379]"
Talent 73,"['P2', 'P2', 'P2', 'P2']","['T5', 'T114', 'T125', 'T152']",11,9,"[0.011791801013357897, 0.013685152057245086, 0.011197086936731904, 0.012022414671421294]"
Talent 74,"['P4', 'P4']","['T118', 'T185']",9,11,"[-0.028632478632478635, -0.02923076923076923]"
Talent 75,"['P2', 'P2']","['T33', 'T134']",11,9,"[-0.016954474097331244, -0.014564102564102562]"
Talent 76,"['P5', 'P5']","['T236', 'T288']",11,9,"[-0.019158200290275762, -0.016403464085583293]"
Talent 77,"['P2', 'P2']","['T249', 'T256']",10,10,"[-0.006941838649155719, -0.006873977086743041]"
Talent 78,"['P1', 'P1']","['T21', 'T275']",11,9,"[-0.02542607093505299, -0.025702441271303555]"
Talent 79,"['P2', 'P2']","['T127', 'T220']",11,9,"[-0.012494172494172496, -0.010818858560794046]"
Talent 80,"['P5', 'P5']","['T12', 'T147']",11,9,"[-0.01250620347394541, -0.014545454545454544]"
Talent 81,"['P5', 'P5']","['T64', 'T276']",11,9,"[-0.0268301746562616, -0.024226348364279397]"
Talent 82,['P2'],['T11'],8,12,[-0.029479502533394764]
Talent 83,"['P3', 'P3']","['T73', 'T120']",10,10,"[-0.0009615384615384632, -0.0015947467166979369]"
Talent 84,"['P2', 'P2']","['T9', 'T32']",10,10,"[-0.020233100233100237, -0.019919964428634942]"
Talent 85,['P1'],['T87'],8,12,[-0.02838031533683707]
Talent 86,"['P5', 'P5', 'P5', 'P5']","['T27', 'T60', 'T178', 'T234']",9,11,"[-0.004989604989604988, -0.013448802852776363, -0.00970573051109964, -0.011538461538461529]"
Talent 87,"['P4', 'P4']","['T43', 'T146']",11,9,"[-0.014446529080675428, -0.010960281548516845]"
Talent 88,"['P4', 'P4']","['T96', 'T231']",11,9,"[-0.015109890109890112, -0.013765182186234813]"
Talent 89,"['P1', 'P1']","['T128', 'T238']",11,9,"[-0.021190130624092883, -0.01855203619909502]"
Talent 90,"['P1', 'P1']","['T206', 'T294']",11,9,"[-0.013550687722873154, -0.013339261894175183]"
Talent 91,"['P1', 'P1', 'P1', 'P1']","['T55', 'T171', 'T222', 'T292']",11,9,"[-0.00020242914979756978, 0.0016520392359318493, -0.001979307242465138, -0.0008819206271435552]"
Talent 92,"['P3', 'P3', 'P3', 'P3']","['T80', 'T115', 'T228', 'T264']",11,9,"[0.0035217794253938877, 0.005872622001654256, 0.0075113122171945705, 0.006918525261720529]"
Talent 93,"['P2', 'P2', 'P2']","['T76', 'T140', 'T155']",11,9,"[-0.004075394803871627, -0.005755395683453235, -0.004625439919557571]"
Talent 94,"['P1', 'P1', 'P1', 'P1', 'P1']","['T74', 'T105', 'T107', 'T159', 'T266']",11,9,"[0.002610722610722611, 0.0014792899408284023, 3.416070845000482e-18, -0.00028846153846153914, 0.0003476749239461089]"
Talent 95,"['P5', 'P5']","['T209', 'T280']",11,9,"[-0.011780219780219777, -0.006173444390004898]"
Talent 96,"['P5', 'P5']","['T1', 'T181']",11,9,"[-0.011018711018711018, -0.017194570135746608]"
Talent 97,"['P2', 'P2']","['T79', 'T162']",10,10,"[-0.01124260355029586, -0.01336996336996337]"
Talent 98,"['P4', 'P4']","['T81', 'T267']",10,10,"[-0.013135402609086818, -0.011444652908067548]"
Talent 99,"['P2', 'P2', 'P2', 'P2', 'P2']","['T47', 'T88', 'T177', 'T213', 'T283']",11,9,"[0.012290502793296082, 0.012176059234882766, 0.013653846153846155, 0.018346870520783574, 0.016397973284200822]"
Talent 100,['P2'],['T161'],8,12,[-0.026829268292682937]
Talent 101,['P4'],['T101'],8,12,[-0.016490698843640024]
Talent 102,"['P5', 'P5']","['T241', 'T242']",11,9,"[-0.016568047337278107, -0.01097364174287251]"
Talent 103,['P3'],['T116'],8,12,[-0.03846153846153845]
Talent 104,"['P2', 'P2', 'P2']","['T28', 'T44', 'T167']",11,9,"[0.016126042632066732, 0.015764482431149102, 0.016130536130536128]"
Talent 105,"['P1', 'P1', 'P1']","['T112', 'T204', 'T233']",11,9,"[-0.003896103896103895, -0.0059009483667017875, -0.006402845709204093]"
Talent 106,"['P4', 'P4']","['T254', 'T295']",11,9,"[-0.006504904491481675, -0.008872109485606417]"
Talent 107,"['P4', 'P4', 'P4', 'P4', 'P4', 'P4']","['T20', 'T35', 'T37', 'T98', 'T190', 'T196']",11,9,"[-3.416070845000482e-18, 0.0007197480881691408, -0.00035164835164835245, -0.0016194331983805667, -0.0028131868131868144, 0.00018876828692780017]"
Talent 108,"['P4', 'P4']","['T57', 'T86']",10,10,"[-0.010083160083160079, -0.011263736263736269]"
Talent 109,"['P2', 'P2', 'P2']","['T157', 'T216', 'T291']",11,9,"[0.008815903197925664, 0.009986504723346827, 0.007558915073365937]"
Talent 110,"['P5', 'P5', 'P5', 'P5', 'P5', 'P5', 'P5']","['T16', 'T90', 'T130', 'T143', 'T168', 'T175', 'T187']",11,9,"[-0.002579456471672042, -0.00320082601961797, -0.0035006909258406293, -0.005946201038225575, -0.0005494505494505458, -0.0027092404450895003, -0.0037735849056603757]"
Talent 112,"['P1', 'P1']","['T36', 'T273']",10,10,"[-0.027497789566755085, -0.026693835965359153]"
